"prim_key","work_employed","work_onleave","work_temp_unemployed","work_looking","work_retired","work_disabled","work_oth","work_occupation","work_self","inc_wage","inc_retempl","inc_self","inc_ss","inc_intdiv","inc_rent","inc_gov","inc_alimony","inc_child","inc_retsav","inc_wage_freq","inc_retempl_freq","inc_self_freq","inc_ss_freq","inc_intdiv_freq","inc_rent_freq","inc_gov_freq","inc_alimony_freq","inc_child_freq","inc_retsav_freq","paypref_b1","paypref_b2","paypref_nb1","paypref_nb2","paypref_lt10","paypref_10to25","paypref_25to50","paypref_50to100","paypref_100plus","mobile_howfunded","cc_num","paypref_web","cc_type_1","cc_type_2","cc_type_3","cc_type_4","cc_type_5","cc_type_6","cc_rewards_1","cc_rewards_2","cc_rewards_3","cc_rewards_4","cc_rewards_5","cc_rewards_6","cc_hasbal_1","cc_hasbal_2","cc_hasbal_3","cc_hasbal_4","cc_hasbal_5","cc_hasbal_6","cc_chip_1","cc_chip_2","cc_chip_3","cc_chip_4","cc_chip_5","cc_chip_6","dc_num","dc_logo_1","dc_logo_2","dc_logo_3","dc_logo_4","dc_logo_5","dc_rewards_1","dc_rewards_2","dc_rewards_3","dc_rewards_4","dc_rewards_5","dc_acct_1","dc_acct_2","dc_acct_3","dc_acct_4","dc_acct_5","shops_online","last_income_date","paypref_b1_why","paypref_b2_why","paypref_nb1_why","paypref_nb2_why","paypref_web_why","e_exp_csh","e_exp_chk","e_exp_od","e_exp_cc","e_exp_heloc","e_exp_sav","e_exp_payday","e_exp_fam","e_exp_cover","e_exp_pawn","e_exp_csh_saved","e_exp_chk_saved","e_exp_sav_saved","e_exp_svc_saved","e_exp_tot_saved","cashwith_amnt_prim","cashwith_amnt_oth","cashwith_location","cashwith_num_prim","cashwith_num_oth","interest_level","memory_lpd","memory_checkbook","memory_receipts","memory_finrec","memory_oth","next_income_date","scpc_date","gender","age","citizen","state_reside","marital_status","highest_education","hispaniclatino","hispaniclatino_group","race_white","race_black","race_asian","race_other","hh_size","income_hh","income_hh_gte500k","homeowner","home_value","home_debt","other_assets","other_debts","ind_weight"
"140100007",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,3,4,3,1,3,3,3,3,3,,1,3,1,,,,,,1,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,10/23/2017,7,8,7,3,7,,,,,,2000,,,2000,,15,6000,40000,145,46160,100,100,1,8.6964282989502,1,1,0,0,1,0,0,11/24/2017,9/21/2017,1,34,1,25,1,14,0,,1,0,0,0,4,15,,1,300000,160000,50000,0,3.49498128890991
"140100010",0,0,0,1,1,0,0,,,0,0,0,1,1,0,0,0,0,0,,,,4,4,,,,,,7,2,3,4,1,3,3,3,3,,1,3,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,0,,,,,1,,,,,1,9/20/2017,3,6,7,1,7,,,,,,2000,,,2000,,1290,0,25000,0,26290,40,80,4,5,1,2,0,1,1,1,0,10/18/2017,10/4/2017,0,68,1,25,2,14,0,,1,0,0,0,1,8,,0,,,400000,4000,0.481471240520477
"140100035",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,7,2,1,4,1,1,1,1,1,,1,4,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,2,,,,,1,,,,,2,,,,,1,,3,3,9,9,9,2000,2000,0,200,0,0,0,0,2000,0,0,2000,0,0,2000,40,0,1,2,,3,0,1,0,0,0,10/11/2017,9/21/2017,1,42,1,25,1,11,0,,1,0,0,0,,15,,1,280000,180000,200000,50000,0.637048065662384
"140100038",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,4,1,4,1,4,4,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,3,3,3,0,0,0,0,0,1,2,2,2,2,1,9/28/2017,1,1,3,1,3,0,0,0,0,0,1000,0,0,1000,0,0,875,1000,0,1875,20,800,1,8.6964282989502,1,2,0,1,0,0,0,10/5/2017,9/19/2017,1,27,1,25,1,9,0,,1,0,0,0,4,12,,0,,,0,50000,4.00085210800171
"140100047",0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,2,3,1,1,3,3,3,3,,1,3,2,,,,,,1,,,,,,0,,,,,,1,,,,,,1,2,,,,,0,,,,,,,,,,1,10/20/2016,3,1,3,1,3,,,,2000,,,,,2000,,0,0,0,0,0,30,0,1,2,,1,0,0,0,0,0,,9/19/2017,0,56,1,25,6,13,0,,1,0,0,0,2,8,,1,180000,0,0,5600,0.249959871172905
"140100055",0,0,0,0,1,0,0,,,0,1,0,1,1,0,0,0,0,1,,4,,4,8,,,,,8,7,3,3,2,1,1,3,3,3,,2,3,1,2,,,,,1,1,,,,,0,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,10/2/2017,6,6,6,6,3,,1000,,1000,,,,,2000,,500,2587,2600,0,5687,300,0,1,1,,2,0,0,1,1,0,11/1/2017,9/28/2017,1,85,1,25,1,13,0,,1,0,0,0,2,15,,1,398000,0,1000000,0,0.564917922019959
"140100072",1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,7,2,3,4,3,3,3,3,3,,1,3,5,,,,,,1,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,,,,,,1,9/15/2017,3,1,7,3,3,,,,,,2000,,,2000,,100,2000,20000,0,22100,200,0,1,1,,1,0,0,0,1,0,10/13/2017,9/19/2017,1,41,1,25,1,13,0,,0,0,1,0,4,16,,1,450000,210000,20000,10000,1.81470727920532
"140100081",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,2,7,4,1,1,1,3,3,3,,5,3,2,1,4,2,4,,1,1,0,1,1,,0,0,0,0,0,,1,1,0,1,0,,1,2,,,,,1,,,,,1,,,,,1,10/21/2017,6,3,3,3,3,,,,,,,,2000,2000,,250,500,25,20,795,40,0,1,0.333333343267441,,1,0,0,0,0,0,11/3/2017,9/19/2017,0,59,1,25,4,10,0,,1,0,0,0,2,8,,1,300000,0,10000,0,0.249961763620377
"140100090",1,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,,,9,,6,,,,,,7,2,3,2,1,3,3,3,3,,1,10,1,,,,,,1,,,,,,0,,,,,,1,,,,,,1,1,,,,,0,,,,,2,,,,,1,10/9/2017,3,3,3,3,8,,2000,,,,,,,2000,,100,1000,0,0,1100,40,40,6,2,0.16666667163372,2,0,1,0,1,0,,9/21/2017,0,58,1,25,1,13,0,,1,0,0,0,3,17,,1,350000,20000,50000,0,0.907836675643921
"140100108",0,0,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,,,,4,,,,,,7,3,3,1,1,3,3,3,3,,2,3,5,2,,,,,1,0,,,,,0,0,,,,,1,1,,,,,1,1,,,,,0,,,,,,,,,,1,10/16/2017,3,3,3,3,3,,,,,,2000,,,2000,,80,16352,200000,100,216532,200,0,1,4.3482141494751,,3,0,0,1,1,0,11/16/2017,9/30/2017,1,59,1,25,1,14,0,,1,0,0,0,4,14,,1,900000,450000,2500000,125000,0.380719661712646
