"prim_key","date","diary_day","tran","time","amnt","type","pi","merch","device","in_person","tran_report","amnt_orig","pi_orig","in_person_orig","device_orig","bill_orig","why_not_billpref","unexpected","can_postpone","receipt_timing","fixed_amount","automatic","from_bill_section","regularity","pmnt_desc","merch_orig","frequency","inconsistency_explain","late_fee","report_date","past_service","durable_type","why_not_pref","debit_auth","fee_flag","prepaid_logo","pay_timing","monord_source","monord_date","paypal_funding","otherpi_type","otherpi_funding","mobile_method","used_heloc","borrowed_for_purchase","prior_goods","prior_goods_time","mobile_type","mobile_funding","other_device_desc","paypref_tran","dc_num_used","authorization_method","cc_num_used","cc_debt_amnt","used_sbdc","used_linked_sbdc","cc_debt_canpay","cc_debt_whynotpay","loan_amnt_due","loan_amnt_canpay","loan_amnt_whynotpay","cc_repay_plan","module","due_date","draft_date","discount","tran_min","from_account","date_authorized","ind_payee","enough_cash","accept_cash","accept_card","purpose_orig","payee_orig","to_account","multipi_breakdown","checker","hand_checked","payee","purpose","bill","hh_income","cw_location","cw_source","cd_location","cd_account","tran_account","fee_amnt","tran_inst","tran_days","check_dep_src","rem_howmade","fee_amount","income_type","income_howpaid","ppload_gpr","ppload_loc","report_dat","ow_type","coin2cash_coin_amnt","coin2cash_reimburse","coin2cash_loc","cash_move","payment","amnt_new"
"140100007",10/28/2017,2,1,1600,10,1,1,5,7,1,1,10,1,1,7,0,,,,,,,2,,"i bought flowers.  paid in cash as merchant did not accept credit cards.",5,,,,21121,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purchases",,,0,,,,,,,0,,7,,,0,,7,,0,15,,,,,,,,,,,,,,,,,,,,,,1,10
"140100007",10/28/2017,2,2,1700,25.43,1,3,1,7,1,2,25.43,3,1,7,0,,,,,,,2,,"groceries.",1,,,,21121,,,,,0,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,"Purchases",,,0,0,,,,0,1,,,7,,,0,,7,,0,15,,,,,,,,,,,,,,,,,,,,,,1,25.43
"140100007",10/28/2017,2,3,2200,185,1,3,13,1,0,3,185,3,2,1,1,,0,1,3,,0,2,1,"hotel for holiday.  Pay a portion today and the rest after the stay.",13,,,,21121,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Purchases",12/20/2017,12/20/2017,0,0,,,,,,,,8,,,0,,8,,1,15,,,,,,,,,,,,,,,,,,,,,,1,185
"140100007",10/29/2017,3,1,1400,25,1,3,2,7,1,1,25,3,1,7,0,,,,,,,2,,"gas",2,,,,21122,,,,,0,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,1,"Purchases",,,0,0,,,,0,1,,,7,,,0,,7,,0,15,,,,,,,,,,,,,,,,,,,,,,1,25
"140100010",10/4/2017,1,1,1500,8.98,1,1,4,7,1,1,8.98,1,1,7,0,,,,,,,2,,"Bought a sandwich and chips at the hospital cafe, while staying with my husband, who was admitted to the hospital for treatment.",4,,,,21098,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purchases",,,0,3,,,,,,1,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,8.98
"140100010",10/4/2017,1,2,1600,11.44,1,3,1,6,1,2,11.44,3,1,6,0,,,,,,,2,,"Prescription, Ibuprofen",1,,,,21098,,,,,0,,,,,,,,,,,,,,,"The credit card processing machine at the check-out.",,,,1,,,,,,,,,,"Purchases",,,0,3,,,,1,1,,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,11.44
"140100010",10/5/2017,2,1,1630,1.99,1,1,1,7,1,1,1.99,1,1,7,0,,,,,,,2,,"Bought throat lozenges, paid the cashier in person (CVS Pharmacy)",1,,,,21098,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purchases",,,0,3,,,,,,1,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,1.99
"140100010",10/5/2017,2,2,2000,11.3,1,3,1,6,1,2,11.3,3,1,6,0,,,,,,,2,,"Bought a few groceries, paid cashier (Big Y Supermarket)",1,,,,21098,,,,,0,,,,,,,,,,,,,,,"Credit card processing machine at cashier check-out",,,,1,,,,,,,,,,"Purchases",,,0,3,,,,1,1,,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,11.3
"140100010",10/5/2017,2,3,2100,34.98,1,4,2,6,1,3,34.98,4,1,6,0,,,,,,,2,,"Just gas, Cumberland Farms convenience/gas store",2,,,,21098,,,5,1,,,,,,,,,,,,,,,,"Used my Cumberland Farms SmartPay card in their processing machine at the pump (linked to my debit card)",,1,,,,,,,,,,,,"Purchases",,,1,3,,,,1,1,,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,34.98
"140100010",10/6/2017,3,1,1300,1.99,1,1,4,7,1,1,1.99,1,1,7,0,,,,,,,2,,"Bought chips at the hospital cafe, paid cashier in person ",4,,,,21098,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Purchases",,,0,3,,,,,,1,,7,,,0,,7,,0,8,,,,,,,,,,,,,,,,,,,,,,1,1.99
"140100035",10/1/2017,3,1,1827,250,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cash Withdrawals",,,,,,,,,,,,,1,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,0,250
"140100038",10/2/2017,3,1,1818,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cash Withdrawals",,,,,,,,,,,,,1,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,0,1
